key,path_de,path_en,title_de,title_en,description_de,description_en,body_md_de,body_md_en,meta_title_de,meta_title_en,meta_description_de,meta_description_en,weight,parent_key,type,robots,hero_image,canonical_de,canonical_en,is_public,body_de_kurzantwort,body_de_praxis,body_de_varianten,body_de_ablauf,body_de_kosten,body_de_fehler,body_de_verweise,body_en_kurzantwort,body_en_praxis,body_en_varianten,body_en_ablauf,body_en_kosten,body_en_fehler,body_en_verweise,menu_main_name_de,menu_main_name_en,menu_main_weight,menu_main_identifier
products-root,produkte,products,Produkte,Products,"Produktübersicht: Vertäfelungen, Leisten, Öle & Farben sowie Lüftungsrosetten.","Product overview: wainscoting, mouldings, oils & paints, and ventilation rosettes.",@include:kategorien/produkte/intro.de.md,@include:kategorien/produkte/intro.en.md,Produkte - Vertäfelung & Lambris,Products - Vertäfelung & Lambris,Übersicht aller Produktkategorien der Wissensseite von Vertäfelung & Lambris.,Overview of all product categories on the knowledge site by Vertäfelung & Lambris.,10,,products,"index,follow",,,,TRUE,@include:kategorien/produkte/kurzantwort.de.md,@include:kategorien/produkte/praxis.de.md,@include:kategorien/produkte/varianten.de.md,@include:kategorien/produkte/ablauf.de.md,@include:kategorien/produkte/kosten.de.md,@include:kategorien/produkte/fehler.de.md,@include:kategorien/produkte/verweise.de.md,@include:kategorien/produkte/kurzantwort.en.md,@include:kategorien/produkte/praxis.en.md,@include:kategorien/produkte/varianten.en.md,@include:kategorien/produkte/ablauf.en.md,@include:kategorien/produkte/kosten.en.md,@include:kategorien/produkte/fehler.en.md,@include:kategorien/produkte/verweise.en.md,Produkte,Products,10,produkte
high-wainscoting,produkte/hohe-vertaefelungen,products/high-wainscoting,Hohe Vertäfelungen,High Wainscoting,"Hohe Vertäfelungen (Wandtäfelungen bis zur Tür-/Brüstungshöhe oder darüber) nach historischen Vorbildern - rekonstruierbar, variantenfähig und für Altbau-Interieurs geeignet.",High wainscoting (wall panelling up to door/rail height or higher) based on historic references - configurable variants and suitable for period interiors.,@include:kategorien/produkte/hohe-vertaefelungen/intro.de.md,@include:kategorien/produkte/hohe-vertaefelungen/intro.en.md,Hohe Vertäfelungen - historische Wandtäfelung nach Maß,High Wainscoting - Historic Wall Panelling Made to Measure,"Hohe Vertäfelungen nach historischen Vorbildern: Varianten, Details und Projektablauf. Rekonstruktion, Visualisierung und Umsetzung für Altbau-Interieurs.","High wainscoting based on historic references: variants, details and workflow. Reconstruction, visualisation and implementation for period interiors.",20,products-root,products,"index,follow",,,,TRUE,@include:kategorien/produkte/hohe-vertaefelungen/kurzantwort.de.md,@include:kategorien/produkte/hohe-vertaefelungen/praxis.de.md,@include:kategorien/produkte/hohe-vertaefelungen/varianten.de.md,@include:kategorien/produkte/hohe-vertaefelungen/ablauf.de.md,@include:kategorien/produkte/hohe-vertaefelungen/kosten.de.md,@include:kategorien/produkte/hohe-vertaefelungen/fehler.de.md,@include:kategorien/produkte/hohe-vertaefelungen/verweise.de.md,@include:kategorien/produkte/hohe-vertaefelungen/kurzantwort.en.md,@include:kategorien/produkte/hohe-vertaefelungen/praxis.en.md,@include:kategorien/produkte/hohe-vertaefelungen/varianten.en.md,@include:kategorien/produkte/hohe-vertaefelungen/ablauf.en.md,@include:kategorien/produkte/hohe-vertaefelungen/kosten.en.md,@include:kategorien/produkte/hohe-vertaefelungen/fehler.en.md,@include:kategorien/produkte/hohe-vertaefelungen/verweise.en.md,,,,
dado-panel,produkte/halbhohe-vertaefelungen,products/dado-panel,Halbhohe Vertäfelungen,Dado Panel,"Halbhohe Vertäfelungen (Lambris bis ca. Brüstungshöhe) nach historischen Vorbildern - flexibel kombinierbar, ideal für Altbau-Räume und gut mit Farbkonzepten abstimmbar.","Dado panel (low wall panelling up to typical dado/rail height) based on historic references - flexible combinations, ideal for period rooms and easy to integrate with colour schemes.",@include:kategorien/produkte/halbhohe-vertaefelungen/intro.de.md,@include:kategorien/produkte/halbhohe-vertaefelungen/intro.en.md,Halbhohe Vertäfelungen - Lambris nach historischen Vorbildern,Dado Panel - Historic Low Wall Panelling Made to Measure,"Halbhohe Vertäfelungen (Lambris) nach historischen Vorbildern: Varianten, Details und Projektablauf. Rekonstruktion, Visualisierung und Umsetzung für Altbau-Interieurs.","Dado panel based on historic references: variants, details and workflow. Reconstruction, visualisation and implementation for period interiors.",10,products-root,products,"index,follow",,,,TRUE,@include:kategorien/produkte/halbhohe-vertaefelungen/kurzantwort.de.md,@include:kategorien/produkte/halbhohe-vertaefelungen/praxis.de.md,@include:kategorien/produkte/halbhohe-vertaefelungen/varianten.de.md,@include:kategorien/produkte/halbhohe-vertaefelungen/ablauf.de.md,@include:kategorien/produkte/halbhohe-vertaefelungen/kosten.de.md,@include:kategorien/produkte/halbhohe-vertaefelungen/fehler.de.md,@include:kategorien/produkte/halbhohe-vertaefelungen/verweise.de.md,@include:kategorien/produkte/halbhohe-vertaefelungen/kurzantwort.en.md,@include:kategorien/produkte/halbhohe-vertaefelungen/praxis.en.md,@include:kategorien/produkte/halbhohe-vertaefelungen/varianten.en.md,@include:kategorien/produkte/halbhohe-vertaefelungen/ablauf.en.md,@include:kategorien/produkte/halbhohe-vertaefelungen/kosten.en.md,@include:kategorien/produkte/halbhohe-vertaefelungen/fehler.en.md,@include:kategorien/produkte/halbhohe-vertaefelungen/verweise.en.md,,,,
mouldings-root,produkte/leisten,products/mouldings,Leisten,Mouldings,"Leisten für historische Innenräume: Wandleisten, Türrahmen/Türbekleidungen und Sockelleisten - als rekonstruierte Profile nach Vorbildern oder als kompatible Standardprofile.","Mouldings for historically informed interiors: wall mouldings, door surrounds/architraves and skirting boards - reconstructed from references or supplied as compatible standard profiles.",@include:kategorien/produkte/leisten/intro.de.md,@include:kategorien/produkte/leisten/intro.en.md,"Leisten - Wandleisten, Türbekleidungen und Sockelleisten","Mouldings - Wall Mouldings, Door Surrounds and Skirting","Leisten für historische Innenräume: Wandleisten, Türrahmen/Türbekleidungen und Sockelleisten. Produktübersichten, Varianten und Maße - Vertäfelung & Lambris.","Mouldings for historic interiors: wall mouldings, door surrounds/architraves and skirting boards. Overviews, variants and dimensions - Vertäfelung & Lambris.",30,products-root,products,"index,follow",,,,TRUE,@include:kategorien/produkte/leisten/kurzantwort.de.md,@include:kategorien/produkte/leisten/praxis.de.md,@include:kategorien/produkte/leisten/varianten.de.md,@include:kategorien/produkte/leisten/ablauf.de.md,@include:kategorien/produkte/leisten/kosten.de.md,@include:kategorien/produkte/leisten/fehler.de.md,@include:kategorien/produkte/leisten/verweise.de.md,@include:kategorien/produkte/leisten/kurzantwort.en.md,@include:kategorien/produkte/leisten/praxis.en.md,@include:kategorien/produkte/leisten/varianten.en.md,@include:kategorien/produkte/leisten/ablauf.en.md,@include:kategorien/produkte/leisten/kosten.en.md,@include:kategorien/produkte/leisten/fehler.en.md,@include:kategorien/produkte/leisten/verweise.en.md,,,,
wall-mouldings,produkte/leisten/wandleisten,products/mouldings/wall,Wandleisten,Wall Mouldings,"Wandleisten zur Gliederung historischer Wandflächen: Profile für Felder, Rahmungen, Gesimse und Übergänge - mit Varianten, Maßen und Bildmaterial.","Wall mouldings for structuring historic wall surfaces: profiles for panels, frames, cornice lines and transitions - with variants, dimensions and images.",@include:kategorien/produkte/leisten/wandleisten/intro.de.md,@include:kategorien/produkte/leisten/wandleisten/intro.en.md,Wandleisten - Profile für historische Wandflächen,Wall Mouldings - Profiles for Historic Wall Surfaces,"Wandleisten für historische Innenräume: Profile für Felder, Rahmungen und Wandteilungen. Varianten, Maße und Bilder - Vertäfelung & Lambris.","Wall mouldings for historic interiors: profiles for panels, frames and wall divisions. Variants, dimensions and images - Vertäfelung & Lambris.",10,mouldings-root,products,"index,follow",,,,TRUE,@include:kategorien/produkte/leisten/wandleisten/kurzantwort.de.md,@include:kategorien/produkte/leisten/wandleisten/praxis.de.md,@include:kategorien/produkte/leisten/wandleisten/varianten.de.md,@include:kategorien/produkte/leisten/wandleisten/ablauf.de.md,@include:kategorien/produkte/leisten/wandleisten/kosten.de.md,@include:kategorien/produkte/leisten/wandleisten/fehler.de.md,@include:kategorien/produkte/leisten/wandleisten/verweise.de.md,@include:kategorien/produkte/leisten/wandleisten/kurzantwort.en.md,@include:kategorien/produkte/leisten/wandleisten/praxis.en.md,@include:kategorien/produkte/leisten/wandleisten/varianten.en.md,@include:kategorien/produkte/leisten/wandleisten/ablauf.en.md,@include:kategorien/produkte/leisten/wandleisten/kosten.en.md,@include:kategorien/produkte/leisten/wandleisten/fehler.en.md,@include:kategorien/produkte/leisten/wandleisten/verweise.en.md,,,,
door-architraves,produkte/leisten/tuerbekleidungen,products/mouldings/door,Türbekleidungen,Door Surrounds,"Türbekleidungen (Türrahmen- und Bekleidungsprofile) für historische Innenräume: saubere Fassung von Türen und Durchgängen, mit Varianten, Maßen und Bildmaterial.","Door surrounds (architraves and casing profiles) for historic interiors: clean framing of doors and openings, with variants, dimensions and images.",@include:kategorien/produkte/leisten/tuerbekleidungen/intro.de.md,@include:kategorien/produkte/leisten/tuerbekleidungen/intro.en.md,Türbekleidungen - Profile für Türen und Durchgänge,Door Surrounds - Profiles for Doors and Openings,"Türbekleidungen für historische Innenräume: Profile zur Fassung von Türen und Durchgängen. Varianten, Maße und Bilder - Vertäfelung & Lambris.","Door surrounds for historic interiors: profiles for framing doors and openings. Variants, dimensions and images - Vertäfelung & Lambris.",20,mouldings-root,products,"index,follow",,,,TRUE,@include:kategorien/produkte/leisten/tuerbekleidungen/kurzantwort.de.md,@include:kategorien/produkte/leisten/tuerbekleidungen/praxis.de.md,@include:kategorien/produkte/leisten/tuerbekleidungen/varianten.de.md,@include:kategorien/produkte/leisten/tuerbekleidungen/ablauf.de.md,@include:kategorien/produkte/leisten/tuerbekleidungen/kosten.de.md,@include:kategorien/produkte/leisten/tuerbekleidungen/fehler.de.md,@include:kategorien/produkte/leisten/tuerbekleidungen/verweise.de.md,@include:kategorien/produkte/leisten/tuerbekleidungen/kurzantwort.en.md,@include:kategorien/produkte/leisten/tuerbekleidungen/praxis.en.md,@include:kategorien/produkte/leisten/tuerbekleidungen/varianten.en.md,@include:kategorien/produkte/leisten/tuerbekleidungen/ablauf.en.md,@include:kategorien/produkte/leisten/tuerbekleidungen/kosten.en.md,@include:kategorien/produkte/leisten/tuerbekleidungen/fehler.en.md,@include:kategorien/produkte/leisten/tuerbekleidungen/verweise.en.md,,,,
skirting-boards,produkte/leisten/sockelleisten,products/mouldings/skirtings,Sockelleisten,Skirting Boards,"Sockelleisten als historisch kompatible Profile: Abschluss am Boden, Schutz der Wandzone und proportionierendes Gestaltungselement - geeignet für Altbau-Interieurs.","Skirting boards as historically compatible profiles: floor-level termination, wall protection and a proportional design element - suitable for period interiors.",@include:kategorien/produkte/leisten/sockelleisten/intro.de.md,@include:kategorien/produkte/leisten/sockelleisten/intro.en.md,Sockelleisten - historische Profile für Altbau-Innenräume,Skirting Boards - Historic Profiles for Period Interiors,"Sockelleisten für Altbau und historische Innenräume: Profilformen, Varianten und Maße. Übersicht und Auswahl - Vertäfelung & Lambris.","Skirting boards for period interiors: profile shapes, variants and dimensions. Overview and selection - Vertäfelung & Lambris.",30,mouldings-root,products,"index,follow",,,,TRUE,@include:kategorien/produkte/leisten/sockelleisten/kurzantwort.de.md,@include:kategorien/produkte/leisten/sockelleisten/praxis.de.md,@include:kategorien/produkte/leisten/sockelleisten/varianten.de.md,@include:kategorien/produkte/leisten/sockelleisten/ablauf.de.md,@include:kategorien/produkte/leisten/sockelleisten/kosten.de.md,@include:kategorien/produkte/leisten/sockelleisten/fehler.de.md,@include:kategorien/produkte/leisten/sockelleisten/verweise.de.md,@include:kategorien/produkte/leisten/sockelleisten/kurzantwort.en.md,@include:kategorien/produkte/leisten/sockelleisten/praxis.en.md,@include:kategorien/produkte/leisten/sockelleisten/varianten.en.md,@include:kategorien/produkte/leisten/sockelleisten/ablauf.en.md,@include:kategorien/produkte/leisten/sockelleisten/kosten.en.md,@include:kategorien/produkte/leisten/sockelleisten/fehler.en.md,@include:kategorien/produkte/leisten/sockelleisten/verweise.en.md,,,,
oil-paints-root,produkte/oele-farben,products/oil-paint,Öle & Farben,Oils & Paints,"Öle, Farben und Oberflächensysteme für historische Holzoberflächen - mit Fokus auf kompatible Materialien, handwerkliche Verarbeitung und Denkmalpflege.","Oils, paints and finishing systems for historic wood surfaces - focused on compatible materials, craft application and heritage contexts.",@include:kategorien/produkte/oele-farben/intro.de.md,@include:kategorien/produkte/oele-farben/intro.en.md,Öle & Farben - Oberflächensysteme für historische Holzarbeiten,Oils & Paints - Finishes for Historic Woodwork,"Öle & Farben für historische Holzoberflächen: Leinöl/Tung/Balsam, Standöl- und Ölfarb-Systeme. Übersicht, Varianten und Hinweise - Vertäfelung & Lambris.","Oils & paints for historic wood surfaces: linseed/tung/balsam and stand-oil/oil-paint systems. Overviews, variants and notes - Vertäfelung & Lambris.",40,products-root,products,"index,follow",,,,TRUE,@include:kategorien/produkte/oele-farben/kurzantwort.de.md,@include:kategorien/produkte/oele-farben/praxis.de.md,@include:kategorien/produkte/oele-farben/varianten.de.md,@include:kategorien/produkte/oele-farben/ablauf.de.md,@include:kategorien/produkte/oele-farben/kosten.de.md,@include:kategorien/produkte/oele-farben/fehler.de.md,@include:kategorien/produkte/oele-farben/verweise.de.md,@include:kategorien/produkte/oele-farben/kurzantwort.en.md,@include:kategorien/produkte/oele-farben/praxis.en.md,@include:kategorien/produkte/oele-farben/varianten.en.md,@include:kategorien/produkte/oele-farben/ablauf.en.md,@include:kategorien/produkte/oele-farben/kosten.en.md,@include:kategorien/produkte/oele-farben/fehler.en.md,@include:kategorien/produkte/oele-farben/verweise.en.md,,,,
oils-linseed-tung-balsam,produkte/oele-farben/leinoel-tung,products/oil-paint/oil-tung,"Leinöl, Tung, Balsam","Linseed, Tung & Balsam","Klassische Öle und Harze für Holzschutz, Grundierung und Pflege - besonders relevant für Restaurierung und denkmalgerechte Oberflächen.","Classic oils and resins for wood protection, priming and maintenance - especially relevant for restoration and heritage-compatible finishes.",@include:kategorien/produkte/oele-farben/leinoel-tung/intro.de.md,@include:kategorien/produkte/oele-farben/leinoel-tung/intro.en.md,"Leinöl, Tung, Balsam - Öle und Harze für Holzoberflächen","Linseed, Tung & Balsam - Oils and Resins for Wood Surfaces","Leinöl, Tungöl und Balsam: traditionelle Öle/Harze für Holzschutz, Grundierung und Pflege. Übersicht, Varianten und Anwendung - Vertäfelung & Lambris.","Linseed oil, tung oil and balsam: traditional oils/resins for protection, priming and maintenance. Overview, variants and use - Vertäfelung & Lambris.",10,oil-paints-root,products,"index,follow",,,,TRUE,@include:kategorien/produkte/oele-farben/leinoel-tung/kurzantwort.de.md,@include:kategorien/produkte/oele-farben/leinoel-tung/praxis.de.md,@include:kategorien/produkte/oele-farben/leinoel-tung/varianten.de.md,@include:kategorien/produkte/oele-farben/leinoel-tung/ablauf.de.md,@include:kategorien/produkte/oele-farben/leinoel-tung/kosten.de.md,@include:kategorien/produkte/oele-farben/leinoel-tung/fehler.de.md,@include:kategorien/produkte/oele-farben/leinoel-tung/verweise.de.md,@include:kategorien/produkte/oele-farben/leinoel-tung/kurzantwort.en.md,@include:kategorien/produkte/oele-farben/leinoel-tung/praxis.en.md,@include:kategorien/produkte/oele-farben/leinoel-tung/varianten.en.md,@include:kategorien/produkte/oele-farben/leinoel-tung/ablauf.en.md,@include:kategorien/produkte/oele-farben/leinoel-tung/kosten.en.md,@include:kategorien/produkte/oele-farben/leinoel-tung/fehler.en.md,@include:kategorien/produkte/oele-farben/leinoel-tung/verweise.en.md,,,,
beeck-stand-oil-paints,produkte/oele-farben/beeck,products/oil-paint/beeck,Beeck Standölfarben,Beeck Stand Oil Paints,"Standölbasierte Innenfarben und Systemkomponenten von BEECK - robuste, diffusionsoffene Ölfarb-Anstriche für Holzoberflächen und Altbau-Interieurs.","Stand-oil-based interior paints and system components by BEECK - durable, vapour-open oil paint finishes for wood surfaces and period interiors.",@include:kategorien/produkte/oele-farben/beeck/intro.de.md,@include:kategorien/produkte/oele-farben/beeck/intro.en.md,BEECK Standölfarben - Standölinnenfarbe Pro & Systemkomponenten,BEECK Stand Oil Paints - Interior Stand-Oil Paint PRO & System Components,"BEECK Standölfarben für Innenräume: Standölinnenfarbe Pro (Vollton/Mischtöne) und Vorstreichfarbe Pro. Varianten, Gebinde und Hinweise - Vertäfelung & Lambris.","BEECK stand-oil interior paints: Interior Stand-Oil Paint PRO (solid/mixed tones) and Primer Coat PRO. Variants, pack sizes and notes - Vertäfelung & Lambris.",20,oil-paints-root,products,"index,follow",,,,TRUE,@include:kategorien/produkte/oele-farben/beeck/kurzantwort.de.md,@include:kategorien/produkte/oele-farben/beeck/praxis.de.md,@include:kategorien/produkte/oele-farben/beeck/varianten.de.md,@include:kategorien/produkte/oele-farben/beeck/ablauf.de.md,@include:kategorien/produkte/oele-farben/beeck/kosten.de.md,@include:kategorien/produkte/oele-farben/beeck/fehler.de.md,@include:kategorien/produkte/oele-farben/beeck/verweise.de.md,@include:kategorien/produkte/oele-farben/beeck/kurzantwort.en.md,@include:kategorien/produkte/oele-farben/beeck/praxis.en.md,@include:kategorien/produkte/oele-farben/beeck/varianten.en.md,@include:kategorien/produkte/oele-farben/beeck/ablauf.en.md,@include:kategorien/produkte/oele-farben/beeck/kosten.en.md,@include:kategorien/produkte/oele-farben/beeck/fehler.en.md,@include:kategorien/produkte/oele-farben/beeck/verweise.en.md,,,,
